Title,Ratings,Original_Price,Discounted_Price,Link
fresho!Whole Wheat Atta Bread3.621146 Ratings400 g,3.6,NA,₹70,https://bigbasket.in/pd/40025355/fresho-whole-wheat-bread-safe-preservative-free-400-g/?nc=extended_list&t_pos_sec=2&t_pos_item=10&t_s=Whole+Wheat+Atta+Bread
Bonn BreadHigh Fibre Millet Bread3.6147 Ratings300 g,3.6,₹50,₹47.5,https://bigbasket.in/pd/40304560/bonn-high-fibre-millet-bread-300-g/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=26&t_s=High%2520Fibre%2520Millet%2520Bread
"DinshawsBhaji Pav - Made With Refined Wheat Flour, Fresh, Soft, No Preservatives440 Ratings300 g",4,NA,₹35,https://bigbasket.in/pd/40246806/dinshaws-bhaji-pav-made-with-refined-wheat-flour-fresh-soft-no-preservatives-300-g/?nc=extended_list&t_pos_sec=2&t_pos_item=11&t_s=Bhaji+Pav+-+Made+With+Refined+Wheat+Flour%252C+Fresh%252C+Soft%252C+No+Preservatives
AJITMilk Pav-6G4.178 Ratings100g,4.1,NA,₹10,https://bigbasket.in/pd/40184593/ajit-milk-pav-6g-130-g/?nc=extended_list&t_pos_sec=2&t_pos_item=12&t_s=Milk+Pav-6G
AJITSweet Bun3.9146 Ratings80 g,3.9,NA,₹10,https://bigbasket.in/pd/40184597/ajit-sweet-bun-80-g/?nc=extended_list&t_pos_sec=2&t_pos_item=13&t_s=Sweet+Bun
English OvenBunfills Chocolate3.8183 Ratings30 g,3.8,NA,₹15,https://bigbasket.in/pd/40200916/english-oven-bunfills-chocolate-30-g/?nc=extended_list&t_pos_sec=2&t_pos_item=14&t_s=Bunfills+Chocolate
fresho!Brown Bread3.616532 Ratings400 g,3.6,NA,₹65,https://bigbasket.in/pd/40013625/fresho-brown-bread-safe-preservative-free-400-g/?nc=extended_list&t_pos_sec=2&t_pos_item=15&t_s=Brown+Bread
AJITBhaji Pav3.6104 Ratings300 g,3.6,NA,₹40,https://bigbasket.in/pd/40184596/ajit-bhaji-pav-300-g/?nc=extended_list&t_pos_sec=2&t_pos_item=16&t_s=Bhaji+Pav
"CROISSANT EXPRESSPizza Base - M, Fill With Favourite Toppings3.117 Ratings150 g",3.1,NA,₹30,https://bigbasket.in/pd/40286650/croissant-express-pizza-base-m-fill-with-favourite-toppings-150-g/?nc=extended_list&t_pos_sec=2&t_pos_item=17&t_s=Pizza+Base+-+M%252C+Fill+With+Favourite+Toppings
"CROISSANT EXPRESSButter Pav - Good Source Of Carbohydrates, Perfect Breakfast3.312 Ratings280 g",3.3,NA,₹45,https://bigbasket.in/pd/40286649/croissant-express-butter-pav-good-source-of-carbohydrates-perfect-breakfast-280-g/?nc=extended_list&t_pos_sec=2&t_pos_item=18&t_s=Butter+Pav+-+Good+Source+Of+Carbohydrates%252C+Perfect+Breakfast
"CROISSANT EXPRESSKulcha - Quick Meal, Just Heat2.518 Ratings190 g",NA,NA,₹50,https://bigbasket.in/pd/40286652/croissant-express-kulcha-quick-meal-just-heat-190-g/?nc=extended_list&t_pos_sec=2&t_pos_item=19&t_s=Kulcha+-+Quick+Meal%252C+Just+Heat
CROISSANT EXPRESSHot Dog Base - Good Quality Ingredients2.65 Ratings180 g,NA,NA,₹30,https://bigbasket.in/pd/40286654/croissant-express-hot-dog-base-good-quality-ingredients-180-g/?nc=extended_list&t_pos_sec=2&t_pos_item=20&t_s=Hot+Dog+Base+-+Good+Quality+Ingredients
KittyAtta Bread - Hi-Fibre3.222 Ratings400 g,3.2,NA,₹50,https://bigbasket.in/pd/40097995/kitty-atta-bread-hi-fibre-400-g/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=27&t_s=Atta%2520Bread%2520-%2520Hi-Fibre
fresho!Burger Buns 150 g (Pack of 2) + Fresho Organic Salted Butter 100 gCombo - 2 Items,NA,NA,₹159,https://bigbasket.in/pd/1211971/fresho-burger-buns-150-g-pack-of-2-fresho-organic-salted-butter-100-g-combo/?nc=extended_list&t_pos_sec=2&t_pos_item=21&t_s=Burger+Buns+150+g+%2528Pack+of+2%2529+%252B+Fresho+Organic+Salted+Butter+100+g
